6;NBN 106;NBN 306
8;NBN 108;NBN 308
10;NBN 110;NBN 310
16;NBN 116;NBN 316
20;NBN 120;NBN 320
25;NBN 125;NBN 325
32;NBN 132;NBN 332
40;NBN 140;NBN 340
50;NBN 150;NBN 350
63;NBN 163;NBN 363
80;P160HHS;TM80A
100;P160HHS;TM100A
125;P160HHS;TM125A
160;P160HHS;TM160A
200;P250HHS;TM200A
250;P250HHS;TM250A
400;h630HND;LSI400C3
630;h630HND;LSI630C3
800;h1000HND;LSI800C3
1000;HW123NEF;OCR11 1000A
1250;HW123NED;OCR11 1250A
1600;HW163NSD;OCR11 1600A
2000;HW203NSD;OCR11 2000A
2500;HW253HUD;OCR11 2500A
